coach,team_id,coach_exp
Lloyd Pierce,Atlanta,1
Brad Stevens,Boston,6
Kenny Atkinson,Brooklyn,3
Fred Hoiberg,Chicago,4
James Borrego,Charlotte,2
Larry Drew,Cleveland,5
Rick Carlisle,Dallas,17
Mike Malone,Denver,6
Dwane Casey,Detroit,10
Steve Kerr,Golden State,5
Mike D'Antoni,Houston,15
Nate McMillan,Indiana,15
Doc Rivers,LA Clippers,20
Luke Walton,LA Lakers,3
J.B. Bickerstaff,Memphis,3
Erik Spoelstra,Miami,11
Mike Budenholzer,Milwaukee,6
Tom Thibodeau,Minnesota,8
Alvin Gentry,New Orleans,16
David Fizdale,New York,3
Billy Donovan,Oklahoma City,4
Steve Clifford,Orlando,6
Brett Brown,Philadelphia,6
Igor Kokoskov,Phoenix,1
Terry Stotts,Portland,11
Dave Joerger,Sacramento,6
Gregg Popovich,San Antonio,23
Nick Nurse,Toronto,1
Quin Snyder,Utah,5
Scott Brooks,Washington,10
